seed,execution_path,path,condition,attack,round,accuracy,macro_f1,evaluation_reward
42,ep_0,fedavg,clean,none,1,0.9433333333333334,0.9443187038993912,2.716666666666667
42,ep_0,fedavg,clean,none,2,0.9436666666666668,0.944789207841202,2.7183333333333337
42,ep_0,fedavg,clean,none,3,0.95,0.950634838914623,2.75
42,ep_0,fedavg,clean,none,4,0.9613333333333334,0.9616567331377468,2.8066666666666666
42,ep_0,fedavg,clean,none,5,0.977,0.9769810684633252,2.885
42,ep_0,fedavg,clean,none,6,0.98,0.9798278663140134,2.9000000000000004
42,ep_0,fedavg,clean,none,7,0.9776666666666668,0.9774092201842156,2.8883333333333336
42,ep_0,fedavg,clean,none,8,0.9733333333333334,0.9729404563936248,2.866666666666667
42,ep_0,fedavg,clean,none,9,0.9673333333333334,0.9666739657292932,2.836666666666667
42,ep_0,fedavg,clean,none,10,0.9713333333333334,0.97085130549737,2.8566666666666674
42,ep_0,fedavg,clean,none,11,0.972,0.9715421087153135,2.8599999999999994
42,ep_0,fedavg,clean,none,12,0.971,0.9704973346231518,2.8549999999999995
42,ep_0,fedavg,clean,none,13,0.9686666666666668,0.9680816617449742,2.8433333333333337
42,ep_0,fedavg,clean,none,14,0.9653333333333334,0.9647781928673548,2.826666666666667
42,ep_0,fedavg,clean,none,15,0.9556666666666668,0.9551949769158516,2.778333333333334
42,ep_0,fedavg,clean,none,16,0.9476666666666668,0.9471622987407778,2.738333333333334
42,ep_0,fedavg,clean,none,17,0.953,0.9523564182788292,2.7649999999999997
42,ep_0,fedavg,clean,none,18,0.9333333333333332,0.9331042533942674,2.666666666666666
42,ep_0,fedavg,clean,none,19,0.964,0.9638862657857624,2.8200000000000003
42,ep_0,fedavg,clean,none,20,0.9676666666666668,0.9675769997440196,2.838333333333334
42,ep_0,fedavg,clean,none,21,0.9456666666666668,0.9455418954406772,2.7283333333333335
42,ep_0,fedavg,clean,none,22,0.9446666666666668,0.9451195323181182,2.7233333333333336
42,ep_0,fedavg,clean,none,23,0.8786666666666667,0.8843026341061684,2.3933333333333335
