condition,alpha,seed,clean_accuracy,attacked_accuracy,accuracy_degradation,clean_macro_f1,attacked_macro_f1,macro_f1_degradation,malicious_update_norm,median_benign_update_norm,malicious_to_benign_norm_ratio,has_nan_or_inf,training_stable
RNB-Weak,0.0,42,0.4923333333333333,0.3263333333333333,0.16599999999999998,0.4871105382700757,0.2240669176325422,0.2630436206375335,,,,False,True
RNB-Weak,0.0,123,0.6093333333333333,0.5043333333333333,0.10499999999999998,0.5463595775926415,0.4530051701133282,0.09335440747931334,,,,False,True
RNB-Weak,0.0,2025,0.54,0.4926666666666666,0.04733333333333345,0.4830025015362664,0.3573977262224328,0.12560477531383357,,,,False,True
alpha_0.5,0.5,42,0.4923333333333333,0.3036666666666666,0.1886666666666667,0.4871105382700757,0.1932302064992375,0.2938803317708382,0.8372496296962102,1.672953682144483,0.5004275167972467,False,True
alpha_0.5,0.5,123,0.6093333333333333,0.5276666666666666,0.08166666666666667,0.5463595775926415,0.4776276982706886,0.0687318793219529,0.8215773373842239,1.6426820854345958,0.5000214878380788,False,True
alpha_0.5,0.5,2025,0.54,0.4793333333333333,0.06066666666666676,0.4830025015362664,0.3227434080528716,0.1602590934833948,0.8388879785935084,1.6773094524939856,0.5001431421016107,False,True
alpha_1,1.0,42,0.4923333333333333,0.2976666666666667,0.1946666666666666,0.4871105382700757,0.1845438423243542,0.3025666959457215,1.6804231703281403,1.6788699229558308,1.0008550433037458,False,True
alpha_1,1.0,123,0.6093333333333333,0.516,0.09333333333333327,0.5463595775926415,0.4645426743692458,0.08181690322339574,1.6342721263567606,1.6338084628184637,1.0000429835528832,False,True
alpha_1,1.0,2025,0.54,0.787,-0.247,0.4830025015362664,0.7797698133884648,-0.29676731185219846,1.6814646621545155,1.6810299078623454,1.0002862955254526,False,True
alpha_2,2.0,42,0.4923333333333333,0.3446666666666667,0.1476666666666666,0.4871105382700757,0.2459956376299452,0.24111490064013053,3.3504348754882813,1.6736752887566884,2.0017100881359133,False,True
alpha_2,2.0,123,0.6093333333333333,0.4943333333333333,0.11499999999999999,0.5463595775926415,0.4425827819439902,0.10377679564865133,3.27435652812322,1.6367188692092896,2.000085954637346,False,True
alpha_2,2.0,2025,0.54,0.699,-0.15899999999999992,0.4830025015362664,0.6479750139210771,-0.16497251238481075,3.4135963837305705,1.7063297082980473,2.000572567921357,False,True
alpha_4,4.0,42,0.4923333333333333,0.3696666666666666,0.1226666666666667,0.4871105382700757,0.2728375945583305,0.2142729437117452,6.639585995674134,1.6583694825569788,4.0034201640000004,False,True
alpha_4,4.0,123,0.6093333333333333,0.3823333333333333,0.22699999999999998,0.5463595775926415,0.2907387693342047,0.2556208082584368,6.628933095932007,1.6567571928103766,4.000171893848544,False,True
alpha_4,4.0,2025,0.54,0.6633333333333333,-0.1233333333333333,0.4830025015362664,0.5993101223404065,-0.11630762080414009,6.76306935151418,1.6903169979651769,4.001145142176762,False,True
alpha_8,8.0,42,0.4923333333333333,0.432,0.060333333333333294,0.4871105382700757,0.3276893466500208,0.15942119162005491,13.33052166302999,1.6647569527228674,8.00684029894591,False,True
alpha_8,8.0,123,0.6093333333333333,0.349,0.2603333333333333,0.5463595775926415,0.250435027221875,0.29592455037076654,13.381966829299927,1.6722565601269404,8.000343663695784,False,True
alpha_8,8.0,2025,0.54,0.598,-0.05799999999999994,0.4830025015362664,0.549771269677596,-0.06676876814132965,13.922327836354574,1.7397866249084473,8.002290276968179,False,True
