condition,execution_path,attack,path,round30_accuracy_mean,round30_accuracy_std,round30_macro_f1_mean,round30_macro_f1_std,final_evaluation_reward_mean,final_evaluation_reward_std,mean_round_time_sec_mean,mean_round_time_sec_std,round30_accuracy_mean_pm_std,round30_macro_f1_mean_pm_std,final_evaluation_reward_mean_pm_std,mean_round_time_sec_mean_pm_std,paired_abs_round30_accuracy_difference_mean,paired_abs_round30_accuracy_difference_std,paired_abs_round30_accuracy_difference_mean_pm_std,paired_abs_round30_macro_f1_difference_mean,paired_abs_round30_macro_f1_difference_std,paired_abs_round30_macro_f1_difference_mean_pm_std,paired_abs_final_evaluation_reward_difference_mean,paired_abs_final_evaluation_reward_difference_std,paired_abs_final_evaluation_reward_difference_mean_pm_std,paired_abs_mean_round_time_sec_difference_mean,paired_abs_mean_round_time_sec_difference_std,paired_abs_mean_round_time_sec_difference_mean_pm_std,paired_plaintext_path
∅,ep_0,none,fedavg,0.5472222222222222,0.058833412023869304,0.505490872466328,0.035452888252972596,0.736111111111111,0.2941670601193465,2.8899631077778394,0.023138397126885656,0.547222 ± 0.058833,0.505491 ± 0.035453,0.736111 ± 0.294167,2.889963 ± 0.023138,,,,,,,,,,,,,
∅,ep_sdp,none,static_dp,0.49766666666666665,0.1163977853932129,0.42082619317808795,0.13818419480066002,0.488333333333333,0.5819889269660644,2.9329439944444755,0.05347848807197939,0.497667 ± 0.116398,0.420826 ± 0.138184,0.488333 ± 0.581989,2.932944 ± 0.053478,,,,,,,,,,,,,
∅,ep_twa,none,twa,0.9674444444444444,0.003656551704867605,0.9667699745218202,0.003775302559319976,2.837222222222222,0.018282758524338246,2.9151246877778854,0.028953553522423115,0.967444 ± 0.003657,0.966770 ± 0.003775,2.837222 ± 0.018283,2.915125 ± 0.028954,,,,,,,,,,,,,
∅,ep_ppa,none,ppa,0.5512222222222222,0.061881906647826966,0.5124162532961625,0.044495517920288254,0.7561111111111111,0.3094095332391348,3.4150005633333116,0.016106607678205095,0.551222 ± 0.061882,0.512416 ± 0.044496,0.756111 ± 0.309410,3.415001 ± 0.016107,0.014444444444444482,0.001575271875417531,0.014444 ± 0.001575,0.014833311058172797,0.004050094515360322,0.014833 ± 0.004050,0.07222222222222241,0.007876359377087737,0.072222 ± 0.007876,0.5250374555554722,0.03510569923914263,0.525037 ± 0.035106,ep_0
∅,ep_sdp-ppa,none,sdp_ppa,0.5,0.11584664192131101,0.4226612172019761,0.13753316202447619,0.49999999999999983,0.579233209606555,3.422343703333364,0.017224605633092853,0.500000 ± 0.115847,0.422661 ± 0.137533,0.500000 ± 0.579233,3.422344 ± 0.017225,0.0043333333333333375,0.0029059326290271524,0.004333 ± 0.002906,0.004531213691092643,0.0030481541445448114,0.004531 ± 0.003048,0.02166666666666665,0.014529663145135761,0.021667 ± 0.014530,0.48939970888888834,0.06600769344700323,0.489400 ± 0.066008,ep_sdp
∅,ep_twa-ppa,none,twa_ppa,0.9677777777777777,0.0032885885748775026,0.9671221979469785,0.0033940281382368077,2.8388888888888886,0.016442942874387276,3.494809881111046,0.1314895515560075,0.967778 ± 0.003289,0.967122 ± 0.003394,2.838889 ± 0.016443,3.494810 ± 0.131490,0.0005555555555555314,0.00019245008972978994,0.000556 ± 0.000192,0.0005852730408227869,0.00020412324697825473,0.000585 ± 0.000204,0.002777777777777916,0.0009622504486492703,0.002778 ± 0.000962,0.5796851933331607,0.13807605388923455,0.579685 ± 0.138076,ep_twa
Sign flipping,ep_0,sign_flipping,fedavg,0.7076666666666666,0.1704487541103711,0.6717462327935682,0.20107232158914765,1.5383333333333333,0.8522437705518557,2.9272864255554953,0.11487995097494375,0.707667 ± 0.170449,0.671746 ± 0.201072,1.538333 ± 0.852244,2.927286 ± 0.114880,,,,,,,,,,,,,
Sign flipping,ep_sdp,sign_flipping,static_dp,0.6005555555555556,0.059693041966876366,0.5619699161445159,0.06726167716680256,1.0027777777777778,0.2984652098343818,2.9404046188889374,0.1210758426068251,0.600556 ± 0.059693,0.561970 ± 0.067262,1.002778 ± 0.298465,2.940405 ± 0.121076,,,,,,,,,,,,,
Sign flipping,ep_twa,sign_flipping,twa,0.9706666666666667,0.0017638342073764408,0.9702165264837074,0.0017653485461868528,2.8533333333333335,0.008819171036882508,2.957152406666541,0.1764700355298349,0.970667 ± 0.001764,0.970217 ± 0.001765,2.853333 ± 0.008819,2.957152 ± 0.176470,,,,,,,,,,,,,
Sign flipping,ep_ppa,sign_flipping,ppa,0.7064444444444445,0.15930694807102327,0.6718069534924064,0.1889349821788175,1.532222222222222,0.7965347403551161,3.5008188944445764,0.1540529036449543,0.706444 ± 0.159307,0.671807 ± 0.188935,1.532222 ± 0.796535,3.500819 ± 0.154053,0.008111111111111069,0.005679723519614181,0.008111 ± 0.005680,0.009494914859632017,0.006317887833013552,0.009495 ± 0.006318,0.04055555555555553,0.028398617598071264,0.040556 ± 0.028399,0.5735324688890816,0.04368178598560413,0.573532 ± 0.043682,ep_0
Sign flipping,ep_sdp-ppa,sign_flipping,sdp_ppa,0.5952222222222222,0.05834222154507673,0.5541487980309455,0.06417827697888952,0.9761111111111113,0.2917111077253836,3.4816376477776836,0.17851974676009652,0.595222 ± 0.058342,0.554149 ± 0.064178,0.976111 ± 0.291711,3.481638 ± 0.178520,0.005333333333333301,0.00233333333333337,0.005333 ± 0.002333,0.007821118113570205,0.003134389773847059,0.007821 ± 0.003134,0.026666666666666543,0.01166666666666681,0.026667 ± 0.011667,0.541233028888746,0.059758912214091485,0.541233 ± 0.059759,ep_sdp
